time_identifier,time_period,geographic_level,country_name,country_code,SUBLEVNO,SUBJ,ASIZE,PRIOR_BAND,GRADE,COUNT,grade_concat
Academic year,201819,National,England,E92000001,253,10002,0.5,2-<3,D,20,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,2-<3,P,40,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,2-<3,U,40,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,3-<4,M,16.22,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,3-<4,P,30.41,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,3-<4,U,53.38,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,D,3.01,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,M,37.59,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,P,36.84,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,4-<5,U,22.56,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,D,18.18,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,M,50,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,P,22.73,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,5-<6,U,9.09,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,*,11.76,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,D,41.18,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,M,41.18,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,0.5,6-<7,U,5.88,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,2-<3,D,33.33,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,2-<3,P,33.33,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,2-<3,U,33.33,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,*,0.51,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,D,11.79,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,M,50.77,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,P,31.79,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,3-<4,U,5.13,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,*,1.85,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,D,28.87,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,M,53.35,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,P,12.7,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,4-<5,U,3.23,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,*,10.68,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,D,51.71,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,M,35.04,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,5-<6,P,2.56,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,6-<7,*,39.06,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,6-<7,D,48.44,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,6-<7,M,12.5,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,7-<8,*,54.55,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,7-<8,D,36.36,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,10002,1,7-<8,M,9.09,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,1-<2,D,100,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,2-<3,B,4.26,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,2-<3,C,10.64,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,2-<3,D,23.4,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,2-<3,E,27.66,U_E_D_C_B_A_*_P_M_*A
Academic year,201819,National,England,E92000001,253,14710,0.5,2-<3,U,34.04,U_E_D_C_B_A_*_P_M_*A
